"Group","Members"
"Kuku","['Oboy', 'G’Smarko', 'Hector', 'Akkuma', 'Kiko', 'T.Shorta/ Wroof', 'PM', 'IT Loaf', 'Hackz', 'Foot', 'Oso', 'Kess', 'GFace', 'Savage', 'Y. Kess', 'Jugg', 'Ivz', 'Anko']"
"Mali Strip","['Richi (former', 'Baby Mane', 'MB', 'Chico', 'Rondo', 'JV', 'Sylent', 'LA', 'J Mafta', 'Killa Kurse', 'Trappyso', 'Lito', 'Ghino', 'JB', 'Blacka', 'Ejay', 'Hammers', 'Lzz']"
"Moscow 17","['Incognito/ SK', 'Mayski', 'M.Y', 'Loosescrew', 'Screwloose', 'Rhyno', 'Knock Out Ned (Derecruited', 'Base', 'OS', 'GB/ Rage', 'TTP', 'Rampz', 'LB', 'TB', 'Mimez (Derecruited', 'Tizzy T', 'TedMatic/ Zino', 'JetBlack', 'KT', 'Twin K', 'Twin D', 'Lil’ S', 'Ruth', 'CJ']"
"NPK/Northumberland Park Kids","['Poppy', 'Kobi', 'Stretch', 'MLoose', 'Tugga', 'Trills', 'Joobz', 'Jigga J', 'Shemz', 'KayyKayy', 'OSav (derecruited', 'Nesha', 'GP', 'Uncs', 'Bengisa', 'LR', 'Blackz', 'Sneakz', 'Sparky', 'ND', 'Reepz', 'TP', 'Bizzy', 'Bully', 'Gripz', 'Tempz', 'TY', 'MO', 'Tiny', 'DRose', 'Salah', 'Stewie', '6ixshot', 'JR', 'Starts', 'Tempz', 'Shacks', 'TSav', 'Mystro', 'Shotta', 'Spider', 'Legz', 'Ronzo', 'JV', 'R1', 'Splasha', 'Tiny Pumpz', 'SK', 'Scatty', 'Rellz', 'Lucci', 'grinna']"
"OMH/Manor House","['Tel Money', 'T', 'St. Sav', 'Double M', 'Stone', '****/ £l Mula', 'Sparko', 'Flacko', 'YL', 'Dice', 'Rifjung', 'Trap4', 'Ric', 'S Fizz', 'St. Rose', 'Loose', 'Tiny', 'Yic', 'KBX', 'Rev24', 'Big M', 'Danny P', 'Shaks', 'Has', 'Scratchy', 'DB', 'China', 'Psycho', 'Ellis', 'Edwin', 'Flacko', 'Kasper', 'Stacks', 'Germs', 'Storm']"
"Original 3rd","['Kavelly', 'Stretch', 'Top Tier', 'Saint', 'Camz', 'Trap Tiz', 'Naydo', 'Kilo', 'SOS', 'M9', 'LA', 'MB', 'T', 'YG']"
"Peckwater","['Gambino', 'Stingz', 'Flipz', 'Bolo', 'Dottz', 'Skelly', 'Frosty', 'Neenz', 'Action', 'Lankz', 'C2', 'Roscoe', 'Conz', 'Wonda', 'Goose', 'Lengz', 'Bart', 'Lizzy', 'Tempz']"
"Rayners Lane","['TeeRose/ Terror (RIP', 'Jojo/ Suspect', 'Breezo', 'Y. Breezo', 'General Durtz', 'KayNizz', 'Trigz', 'Izzy', 'Sav', 'JB', 'KBandz', 'TBrown', 'LP', 'Sparkz', 'Drill4r', 'Sta9', 'TMan', 'Pabby', 'Dino', 'Troopz']"
"Siraq","['Shhmoney', 'Botty Bang', 'Burbz', 'Ruger', 'TB', 'Lil’ Dan/ SD', 'YB', 'Stabber/ SR', 'Dotty', 'S1', 'Lil’ Shak', 'LD', 'Yung Bush', 'Bandit', 'S2', 'BB', 'M', 'L’Zone', 'DBoy (former', 'J Gang', '5 Star', 'Debo', 'Smelly Velly', 'Shotgun', 'Psycho', 'Bellzey', 'Screw', 'K Money', 'Yung Dank', 'Yung Squeezy', 'Darnz', 'R1', 'Spesh', 'Jozey', 'Chibz (derecruited']"
"Skengfield/AP","['Ninja', 'Kaos', 'Shadow', 'M1', 'YP', 'Ceaze', 'BG', 'Mo/ Chicken', 'Impact', 'Temps', 'JT', 'Bilal', 'Birdy', 'Gee', 'Hits', 'Rebz', 'Staro', 'Rhymez', 'Dizz', 'Skengz', 'El Chapo', 'Born', 'Jibz', 'Farmer', 'Mahad', 'Fesal', 'Poky', 'BH', 'Mingo', 'Randz', 'SD', 'Tolga', 'Avon', 'Kilo', 'Target', 'Ghost', 'S’Kizz', 'Scarzy', 'Jango', 'Unknown C6', 'Teerose', 'Scarnizz', 'T Trap', 'Wez B', 'Tremz', 'Rellz', 'RK', 'R1', 'Chak', 'Lankz', 'CRose', 'Y.CRose']"
"TPL Gang","['Haych/ Hamza', 'Mini', 'BM', 'Sava', 'TD', 'O’Mizz', 'Jojo', 'Nino', 'Camz', 'Bilz', 'Prezzy', 'S', 'Y.Prezzy', 'Huncho', 'Biggest Jay', 'P Munna', 'Bankroll Q', 'TP', 'Jimmy', 'Yolo']"
"V8/Hornsey","['MoStack', 'Scarz', 'Biz', 'Kraze', 'Crimer', 'DBelly', 'EK', 'Khaos', 'Billz', 'Blitz', 'Kramer', 'Stainless', 'D Hustler', 'Dot', 'Big T', 'Lat', 'DD', 'Megzo', 'A Rackz', 'Des', 'Abz', 'Shiesty', 'Biz', 'Laqz', 'Siff', 'Spliff', 'Poizon', 'Dubz', 'Jiggz', 'A Star', 'RK Busy', 'Pirate AB', 'Amz', 'Rasta', 'JV', 'MoneyJay', 'KB']"
"WGM (WoodGreenMOB)","['Steeler', 'Yung S', 'Lampz ', 'Ridz', 'DilzOJ', 'Y.OJ', '2Lz', 'Bobby Slater', 'Ramz', 'Blackz', 'Jigga J', 'K1', 'Y.Dot', 'GMadz', 'Telly', 'Temz', 'M.A', 'JD', 'Snypz', 'Chucky', 'BD', 'Crash22', 'Mello ', 'Rhylerz']"
"Zero Tolerance","['Asco', 'Latts', 'Balistik', 'Dabz', 'Bally', 'Blacka', 'Lzz', 'Frisco', 'Shortz', 'Panda', 'Psycho', 'Spider', 'MJ', 'Bagz', 'LJ', 'Shellz', 'Twin', 'Zombie', 'Solo', 'Huntz', 'TB', 'Switch', 'T80', 'CO']"
